"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
127745280|"Indian Ocean"|"01020043"|266659.2|845480.3|1|130099018|"osgb1000000293586355"|4|84401730|2|18.1|"64-66"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1LP"|"Highland"|"01463237755"|"www.indianocean.co.uk"|""|"Restaurant Type"|"Indian Restaurant"|"118 Information"|"01-SEP-2021"
129114904|"Maggie Blyth Ltd"|"09460656"|266645.0|845316.0|1|130092563|"osgb1000038831620"|11|84410246|1|12.2|"21-23"|"Union Street"|"Inverness"|"Inverness"|"IV1 1QA"|"Highland"|"01463223521"|"www.maggieblyth.com"|""|""|""|"118 Information"|"01-SEP-2021"
133949329|"Ellerium Games Ltd"|"09480686"|266722.0|845351.0|1||"osgb1000038831614"|9|84410246|3|18.9|"Unit 5"|"Lombard Street"|"Inverness"|"Inverness"|"IV1 1QQ"|"Highland"|"01463417090"|"www.elleriumgames.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
145833746|"Paul Mulvaney Hairdressing"|"02100156"|266593.0|845487.0|1|130028808|"osgb1000038831713"|3|84401730|1|18.3|"59-61"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1LU"|"Highland"|"01463719676"|"www.facebook.com/paulmulvaneyhairdressing"|""|""|""|"118 Information"|"01-SEP-2021"
146512137|"Jamie Tulloch Health Club"|"02100821"|266584.0|845304.0|1||"osgb1000038831636"|6|84409621|2|23.8|"33"|"Church Street"|"Inverness"|"Inverness"|"IV1 1DX"|"Highland"|"01463240335"|""|""|""|""|"118 Information"|"01-SEP-2021"
146524906|"The Malt Room"|"01020034"|266602.0|845365.0|1|130096425|"osgb1000038831740"|3|84409621|1|21.0|"34"|"Church Street"|"Inverness"|"Inverness"|"IV1 1EH"|"Highland"|"01463221888"|"www.themaltroom.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
129833001|"Highland Recruitment"|"02050078"|266723.4|845437.0|1|130106957|"osgb1000038831761"|8|84401730|2|24.2|"Suite 7 24 Station Square"|"Academy Street"|"Inverness"|"Inverness"|"IV1"|"Highland"|"01463232194"|""|""|""|""|"118 Information"|"01-SEP-2021"
129842432|"The Ivy Bar & Kitchen"|"01020043"|266584.0|845304.0|1||"osgb1000038831636"|6|84409621|2|23.8|"25"|"Church Street"|"Inverness"|"Inverness"|"IV1 1DY"|"Highland"|"01463241459"|"www.theivybar.co.uk"|""|"Restaurant Type"|"Restaurant"|"118 Information"|"01-SEP-2021"
131499981|"Nairn Book & Arts Festival"|"03170813"|266729.0|845283.0|1|130169965|"osgb1000038831581"|4|84410969|1|35.5|"31-33"|"High Street"|"Inverness"|"Inverness"|"IV1 1HT"|"Highland"|"07825415887"|"www.nairnfestival.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
131516705|"British Heart Foundation"|"09480714"|266625.0|845341.0|1|130028620|"osgb1000038831730"|5|84410246|1|19.3|"46"|"Union Street"|"Inverness"|"Inverness"|"IV1 1PX"|"Highland"|"01463711918"|"www.bhf.org.uk"|"British Heart Foundation"|""|""|"118 Information"|"01-SEP-2021"
129830963|"Achieve Financial Planning Ltd"|"02090147"|266659.0|845480.0|1|130099018|"osgb1000000293586355"|4|84401730|1|17.8|"62"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1LP"|"Highland"|"01463630631"|"www.achievefp.com"|""|""|""|"118 Information"|"01-SEP-2021"
149620297|"Ladbrokes Plc"|"04220279"|266647.0|845414.0|1|130028589|"osgb1000038831744"|3|84409620|1|15.2|"13-15"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DF"|"Highland"|"08007316191"|"www.ladbrokes.com"|"Ladbrokes"|""|""|"118 Information"|"01-SEP-2021"
146519574|"Lauders"|"01020034"|266642.0|845291.0|1|130028691|"osgb1000038831631"|4|84409621|1|21.6|"16"|"Church Street"|"Inverness"|"Inverness"|"IV1 1EB"|"Highland"|"01463235909"|"www.stonegatepubs.com/lauders-inverness"|"Stonegate Pubs"|""|""|"118 Information"|"01-SEP-2021"
151359996|"McColl's"|"09470699"|266626.0|845454.0|1|130028583|"osgb1000038831720"|6|84409620|1|29.9|"8"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DA"|"Highland"|"01463232397"|"www.mccolls.co.uk"|"Martin McColl Ltd"|""|""|"118 Information"|"01-SEP-2021"
152775359|"Ness Wear Ltd"|"09460656"|266655.0|845401.0|1|130096473|"osgb1000038831845"|5|84409620|1|30.4|"6 Queensgate Arcade"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1PQ"|"Highland"|"01463718034"|""|""|""|""|"118 Information"|"01-SEP-2021"
152779113|"Han Food Store"|"09470699"|266582.0|845448.0|1||"osgb1000000293728864"|4|84410203|2|11.6|"5"|"Post Office Avenue"|"Inverness"|"Inverness"|"IV1 1DN"|"Highland"|"01463719500"|""|""|""|""|"118 Information"|"01-SEP-2021"
152778752|"WH Smith Ltd"|"09480725"|266729.0|845283.0|1|130169965|"osgb1000038831581"|4|84410969|1|35.5|"25-29"|"High Street"|"Inverness"|"Inverness"|"IV1 1HT"|"Highland"|"01463233885"|"www.whsmith.co.uk"|"WH Smith"|""|""|"118 Information"|"01-SEP-2021"
152780762|"Jet Stream Accountancy"|"02090135"|266678.0|845304.0|1|130107632|"osgb1000038831617"|5|84410016|1|9.0|"25"|"Baron Taylor Street"|"Inverness"|"Inverness"|"IV1 1QG"|"Highland"|"01463572174"|"www.myjetstream.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
151366619|"Blend Tea & Coffee Merchants"|"01020013"|266691.0|845329.0|1||"osgb1000038831615"|6|84410080|2|13.0|"9-10"|"Drummond Street"|"Inverness"|"Inverness"|"IV1 1QD"|"Highland"|"01463243394"|""|""|""|""|"118 Information"|"01-SEP-2021"
152782290|"R S McColl"|"09470699"|266626.0|845454.0|1|130028583|"osgb1000038831720"|6|84409620|1|29.9|"8"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DA"|"Highland"|"01463232397"|"www.mccolls.co.uk"|"Martin McColl Ltd"|""|""|"118 Information"|"01-SEP-2021"
152781937|"Shelter Trading"|"09480714"|266663.0|845326.0|1|130028949|"osgb1000038831620"|11|84410080|1|12.7|"2"|"Drummond Street"|"Inverness"|"Inverness"|"IV1 1QD"|"Highland"|"08088004444"|"www.shelter.org.uk"|"Shelter"|""|""|"118 Information"|"01-SEP-2021"
157761460|"Saffron Oriental Food Shop"|"09470699"|266653.0|845367.0|1|130092195|"osgb1000038831828"|3|84401730|1|74.3|"2 Market Hall"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PJ"|"Highland"|"01463718322"|""|""|""|""|"118 Information"|"01-SEP-2021"
160757884|"Laurans Locks"|"02100156"|266643.0|845383.0|1|130092211|"osgb1000038831861"|4|84401730|1|67.7|"19 Market Hall"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PJ"|"Highland"|"01463711168"|""|""|""|""|"118 Information"|"01-SEP-2021"
161947227|"N E Hair"|"02100156"|266630.0|845371.0|1|130173485|"osgb1000038831863"|4|84401730|1|85.1|"17 Market Hall"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PJ"|"Highland"|"01463729301"|""|""|""|""|"118 Information"|"01-SEP-2021"
161939453|"W E A Scotland"|"05270325"|266690.0|845464.0|1|130028793|"osgb1000038831757"|3|84401730|1|25.1|"42"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1JT"|"Highland"|"01463710577"|"www.wea.org.uk"|""|""|""|"118 Information"|"01-SEP-2021"
161941539|"Mr Simms Olde Sweet Shoppe"|"09470663"|266584.0|845304.0|1|130028679|"osgb1000038831636"|6|84409621|1|23.8|"27"|"Church Street"|"Inverness"|"Inverness"|"IV1 1DY"|"Highland"|"01463709959"|"www.mrsimmsoldesweetshoppe.co.uk"|"Mr Simms"|""|""|"118 Information"|"01-SEP-2021"
161952878|"Ness Music"|"09480690"|266593.0|845487.0|1|130028807|"osgb1000038831713"|3|84401730|1|18.3|"55"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1LU"|"Highland"|"01463719471"|"www.nessmusic.scot"|""|""|""|"118 Information"|"01-SEP-2021"
161948933|"Choppers"|"02100156"|266672.0|845484.0|1|130164594|"osgb1000000293713798"|5|84410386|1|11.0|"1a"|"Strothers Lane"|"Inverness"|"Inverness"|"IV1 1LR"|"Highland"|"01463234648"|""|""|""|""|"118 Information"|"01-SEP-2021"
162702540|"North Designerwear"|"09460656"|266691.0|845329.0|1|130028952|"osgb1000038831615"|6|84410080|1|13.0|"3"|"Drummond Street"|"Inverness"|"Inverness"|"IV1 1QD"|"Highland"|"01463262998"|"www.northdesignerwear.co.uk"|""|""|""|"118 Information"|"01-SEP-2021"
162702544|"Extreme Tattoo & Piercing"|"02100180"|266663.0|845426.0|1|130096404|"osgb1000038831753"|3|84401730|1|21.4|"33"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1JN"|"Highland"|"01463717462"|""|""|""|""|"118 Information"|"01-SEP-2021"
163796995|"The Loft"|"02100156"|266714.0|845303.0|1|130028967|"osgb1000038831586"|5|84410016|1|11.4|"22"|"Baron Taylor Street"|"Inverness"|"Inverness"|"IV1 1QG"|"Highland"|"07513470561"|""|""|""|""|"118 Information"|"01-SEP-2021"
159867771|"Electricity Sub Station"|"06340433"|266716.2|845321.7|2||"Not Assigned"|0|84410016|3|3.3|""|""|""|"Inverness"|"IV1"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
165572201|"Electricity Sub Station"|"06340433"|266565.0|845489.0|2||"Not Assigned"|0|84401902|3|19.7|""|""|""|"Inverness"|"IV1"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
95412153|"Belvoir Lettings"|"02110190"|266580.0|845417.0|1|130096460|"osgb1000038831715"|4|84409620|1|21.0|"18"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DJ"|"Highland"|"01463234006"|"www.belvoir.co.uk"|"Belvoir"|""|""|"Local Data Company"|"01-SEP-2021"
102662019|"Zoom"|"01020018"|266667.0|845299.0|1|130102760|"osgb1000038831627"|3|84410016|3|9.7|"17"|"Baron Taylors Street"|"Inverness"|"Inverness"|"IV1 1QG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102662028|"Highlands Solicitors Property Centre"|"02110190"|266580.0|845417.0|1|10091800807|"osgb1000038831715"|4|84410203|3|14.0|"30"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DJ"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102661783|"Kenneth Moore"|"09460659"|266697.0|845390.5|1|130099877|"osgb1000038831816"|3|84401730|1|28.7|"5-7 New Market"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102661906|"Coffee Affair"|"01020013"|266681.0|845374.0|1|130028608|"osgb1000038831724"|5|84410246|1|21.5|"24"|"Union Street"|"Inverness"|"Inverness"|"IV1 1PL"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102662100|"William Morrison"|"09460659"|266664.0|845385.0|1|130099883|"osgb1000038831842"|3|84401730|1|53.3|"18 New Market"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102670004|"Double T"|"02100826"|266640.0|845370.0|1||"osgb1000000293586761"|2|84410246|3|37.8|"21a Market Hall"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PJ"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102669995|"Macleans"|"09460659"|266690.0|845388.0|1|130099880|"osgb1000038831817"|3|84401730|1|35.0|"9 New Market"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
102667810|"Rohan"|"09460656"|266723.0|845437.0|1|130106957|"osgb1000038831761"|8|84401730|2|23.9|"28-32, Academy Street"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1JT"|"Highland"|"01463238379"|"www.rohan.co.uk/"|"Rohan"|""|""|"Local Data Company"|"01-SEP-2021"
84374659|"The Co-operative"|"02090811"|266563.0|845371.0|1|130087872|"osgb1000038831647"|3|84409621|1|11.1|"59"|"Church Street"|"Inverness"|"Inverness"|"IV1 1DY"|"Highland"|""|"www.paypoint.co.uk"|"PayPoint"|""|""|"PayPoint"|"01-SEP-2021"
110641157|"Private Eyes"|"04250825"|266601.0|845476.0|1|130028805|"osgb1000038831865"|6|84401730|2|21.9|"51-53"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1LU"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
127753942|"Highland Print & Design"|"07420599"|266573.0|845337.0|1|130095156|"osgb1000038831643"|4|84409621|1|17.8|"51"|"Church Street"|"Inverness"|"Inverness"|"IV1 1DR"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
129152339|"Scotch & Rye"|"01020034"|266632.0|845398.0|1|130084485|"osgb1000038831743"|3|84409620|1|21.5|"21"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DF"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
129152345|"Scot Vapes"|"09470699"|266655.0|845376.0|1|130092208|"osgb1000038831854"|4|84410246|3|36.2|"Victorian Market, 30, New Market"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
129152756|"Comfort Foods"|"09470665"|266642.0|845291.0|1|130028691|"osgb1000038831631"|4|84409621|1|21.6|"22"|"Church Street"|"Inverness"|"Inverness"|"IV1 1EB"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
129155030|"147"|"04240301"|266667.0|845362.0|1||"osgb1000038831726"|5|84410246|2|18.2|"34, Union Street"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1QA"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
131494361|"R&B"|"01020034"|266602.0|845389.0|1||"osgb1000038831802"|4|84409620|2|14.3|"73"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
142050957|"Milk Bar"|"09470665"|266686.0|845386.0|1|130102481|"osgb1000038831747"|3|84401730|1|39.0|"Victorian Market, 26, New Market"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
146537362|"Brook Taverner"|"02100776"|266723.0|845437.0|1|130106957|"osgb1000038831761"|8|84401730|1|23.9|"30-34"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1JT"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
150975718|"Platform 8"|"01020034"|266700.0|845454.0|1|130107752|"osgb1000038831758"|6|84401730|1|23.3|"38-40"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1JT"|"Highland"|"01463713307"|"www.belhavenpubs.co.uk"|"Belhaven Breweries"|""|""|"Local Data Company"|"01-SEP-2021"
150975724|"Master Tailor"|"02100776"|266584.0|845304.0|1||"osgb1000038831636"|6|84409621|2|23.8|"37"|"Church Street"|"Inverness"|"Inverness"|"IV1 1DR"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
160714798|"Ambiance Cafe"|"01020013"|266670.0|845385.0|1|130143698|"osgb1000038831856"|3|84410246|3|36.6|"Victorian Market, 24, New Market"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
160714799|"Cafe De Paulo"|"01020013"|266668.0|845400.0|1|130137841|"osgb1000038831749"|3|84409620|1|37.8|"7-9 Queensgate Arcade"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1PQ"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
160714802|"Esco Bar"|"01020034"|266626.0|845454.0|1|130107687|"osgb1000038831720"|6|84409620|1|29.9|"10, Queensgate"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1DA"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
160714379|"Ak'Z"|"01020018"|266604.0|845356.0|1|130028695|"osgb1000038831737"|7|84409621|1|18.5|"32a"|"Church Street"|"Inverness"|"Inverness"|"IV1 1EH"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
164484509|"Macleod & Maccallum"|"02090147"|266602.0|845389.0|1|130092150|"osgb1000038831802"|4|84409620|1|14.3|"25"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1DG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
164484742|"Aeternum"|"02100156"|266664.0|845411.0|1|130096474|"osgb1000038831822"|3|84409620|1|26.3|"3 Queensgate Arcade"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1PQ"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
154155974|"The Highland Cake Fairy"|"01020013"|266674.0|845392.0|1|130099882|"osgb1000038831860"|3|84401730|1|41.7|"14-16 New Market"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1PG"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
154156390|"Chopper"|"02100156"|266672.0|845484.0|1|130114036|"osgb1000000293713798"|5|84410386|1|11.0|"1a"|"Strothers Lane"|"Inverness"|"Inverness"|"IV1 1LR"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
158048321|"Top Nails & Spa"|"02100156"|266677.0|845489.0|1|130167215|"osgb1000000293713798"|5|84410386|1|10.3|"1b"|"Strothers Lane"|"Inverness"|"Inverness"|"IV1 1LR"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
158048322|"Perk Coffee & Doughnuts"|"01020013"|266594.0|845362.0|1|130028696|"osgb1000038831739"|5|84409621|1|12.5|"36"|"Church Street"|"Inverness"|"Inverness"|"IV1 1EH"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
158048327|"Coyote Coffee"|"01020013"|266682.0|845409.0|1|130028779|"osgb1000038831751"|4|84401730|1|23.3|"21"|"Academy Street"|"Inverness"|"Inverness"|"IV1 1JN"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
162362531|"Chopper"|"02100156"|266708.0|845290.0|1||"osgb1000038831574"|5|84410158|3|10.9|"18, Baron Taylors Street"|"Town Centre"|"Inverness"|"Inverness"|"IV1 1QL"|"Highland"|""|""|""|""|""|"Local Data Company"|"01-SEP-2021"
158059274|"Blue Plaque No. 50974"|"03200269"|266688.0|845446.0|4||"Not Assigned"|0|84401730|2|9.7|"40"|"Academy Street"|"Inverness"|"Inverness"|"IV1"|"Highland"|""|"openplaques.org/plaques/50974"|""|"Plaque Type"|"Blue"|"Open Plaques"|"01-SEP-2021"
145871599|"Old High Church Hall"|"06340456"|266565.1|845504.6|1|130172618|"osgb1000038831702"|8|84401730|2|22.2|"Academy Street"|""|"Inverness"|"Inverness"|"IV1 1LU"|"Highland"|""|""|""|""|""|"Ordnance Survey"|"01-SEP-2021"
43766624|"Barclays Bank plc"|"02090141"|266683.0|845335.0|1|130028628|"osgb1000038831616"|7|84410246|1|13.2|"19a"|"Union Street"|"Inverness"|"Inverness"|"IV1 1QA"|"Highland"|""|""|""|""|""|"VocaLink"|"01-SEP-2021"
54245005|"Bank of Ireland"|"02090141"|266609.0|845427.0|1|130028581|"osgb1000038831717"|3|84409620|2|15.1|"14/16"|"Queensgate"|"Inverness"|"Inverness"|"IV1 1AX"|"Highland"|""|""|""|""|""|"VocaLink"|"01-SEP-2021"
66704587|"Barclays Bank plc"|"02090141"|266729.0|845283.0|1|130028764|"osgb1000038831581"|4|84410969|1|35.5|"25-33 High Street"|"Inverness"|""|"Inverness"|"IV1 1HT"|"Highland"|""|""|""|""|""|"VocaLink"|"01-SEP-2021"
