"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"USRN"|"USRN_MATCH_INDICATOR"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
108308670|"Graham & Co"|"02110195"|331264.0|187671.0|1|100100972331|"osgb1000027568593"|6|27104818|1|14.5|"114"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LW"|"Casnewydd - Newport"|"01633254825"|"www.homebuyers.wales"|""|""|""|"118 Information"|"01-SEP-2021"
114132478|"Eden Gate"|"06350816"|331141.0|187776.0|1|10010553697|"osgb1000027569101"|7|27100742|1|18.9|"25"|"Hill Street"|"Newport"|"Gwent"|"NP20 1LZ"|"Casnewydd - Newport"|"01633243235"|"www.edengate.org.uk"|""|""|""|"118 Information"|"01-SEP-2021"
111234074|"Premiership Ltd"|"02150223"|331530.0|187624.0|1|100100972152|"osgb1000027568314"|3|27100909|1|16.1|"Old Custom House 74"|"Lower Dock Street"|"Newport"|"Gwent"|"NP20 1EH"|"Casnewydd - Newport"|"01633244880"|"www.premiership.ltd.uk"|""|""|""|"118 Information"|"01-SEP-2021"
123130001|"F Hinds Ltd"|"09460659"|331273.0|187869.0|1|10090272731|"osgb1000002715108439"|2|27104818|3|76.4|"Units 6-7 Kingsway Centre"|"John Frost Square"|"Newport"|"Gwent"|"NP20 1EB"|"Casnewydd - Newport"|"01633258244"|"www.fhinds.co.uk"|"F Hinds"|""|""|"118 Information"|"01-SEP-2021"
125814663|"The Gap Wales"|"06340456"|331013.0|187957.0|1|100100972394|"osgb1000027569068"|5|27101378|1|17.5|"42"|"Stow Hill"|"Newport"|"Gwent"|"NP20 1JG"|"Casnewydd - Newport"|"01633221908"|"www.thegap.wales"|""|""|""|"118 Information"|"01-SEP-2021"
125782933|"Charles Street Community Learning Centre"|"05320403"|331073.0|187849.0|1|100100972094|"osgb1000027568946"|5|27104821|1|13.9|"16"|"Charles Street"|"Newport"|"Gwent"|"NP20 1JU"|"Casnewydd - Newport"|"01633656656"|"www.newport.gov.uk"|""|""|""|"118 Information"|"01-SEP-2021"
125798569|"Newport City Martial Arts"|"05320395"|331313.0|187641.0|1|100100972029|"osgb1000027568611"|5|27104818|1|18.7|"85"|"Commercial Street"|"Newport"|"Gwent"|"NP20 1LS"|"Casnewydd - Newport"|"01633840728"|""|""|""|""|"118 Information"|"01-SEP-2021"
125846866|"Gwent Drug & Alcohol Services"|"05290358"|331528.0|187662.0|1|10014122667|"osgb1000027568315"|4|27101168|1|13.0|"Old School Building"|"Powells Place"|"Newport"|"Gwent"|"NP20 1EL"|"Casnewydd - Newport"|"01633245890"|"www.gdas.wales"|""|""|""|"118 Information"|"01-SEP-2021"
127739072|"The Laser Clinic"|"05280365"|331062.0|187869.0|1|100100972293|"osgb1000027568965"|6|27104821|1|8.7|"23"|"Charles Street"|"Newport"|"Gwent"|"NP20 1JT"|"Casnewydd - Newport"|"07752183771"|""|""|""|""|"118 Information"|"01-SEP-2021"
129823049|"Shapes Hair"|"02100156"|331098.0|187891.0|1|100100972296|"osgb1000027568958"|6|27104821|1|16.7|"32"|"Charles Street"|"Newport"|"Gwent"|"NP20 1JT"|"Casnewydd - Newport"|"01633265768"|""|""|""|""|"118 Information"|"01-SEP-2021"
