UNIQUE_REFERENCE_NUMBER,NAME,POINTX_CLASSIFICATION_CODE,FEATURE_EASTING,FEATURE_NORTHING,POSITIONAL_ACCURACY_CODE,UPRN,TOPOGRAPHIC_TOID,TOPOGRAPHIC_TOID_VERSION,USRN,USRN_MATCH_INDICATOR,DISTANCE,ADDRESS_DETAIL,STREET_NAME,LOCALITY,GEOGRAPHIC_COUNTY,POSTCODE,ADMINISTRATIVE_BOUNDARY,TELEPHONE_NUMBER,URL,BRAND,QUALIFIER_TYPE,QUALIFIER_DATA,PROVENANCE,DATE_OF_SUPPLY
95725150,Maple Installations,2140214,291003.0,92021.0,1,100040223174.0,osgb1000012292712,8,14200525,1,13.6,27,Maple Road,Exeter,Devon,EX4 1BP,Exeter District,1392422902.0,,,,,118 Information,01-SEP-2021
21841363,Bus Stop (Streatham Drive),10590732,291412.0,93555.0,1,,Not Assigned,0,14200580,3,3.1,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmdjd,Department for Transport,01-SEP-2021
21841364,Bus Stop (Harefield Close),10590732,291282.0,93718.0,1,,Not Assigned,0,14200580,3,5.4,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmdga,Department for Transport,01-SEP-2021
21841367,Bus Stop (Birks Grange),10590732,291150.0,93950.0,1,,Not Assigned,0,14200580,3,3.6,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmatj,Department for Transport,01-SEP-2021
21841385,Bus Stop (Perry Road),10590732,291770.0,93638.0,1,,Not Assigned,0,14200643,3,18.8,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmgjp,Department for Transport,01-SEP-2021
21841209,Bus Stop (Iddesleigh Road),10590732,292949.0,93583.0,1,,Not Assigned,0,14200611,3,4.9,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmtaw,Department for Transport,01-SEP-2021
21841246,Bus Stop (Sorry Head),10590732,292883.0,93294.0,1,,Not Assigned,0,14200081,3,3.5,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmpwg,Department for Transport,01-SEP-2021
21841247,Bus Stop (Exeter Trust House),10590732,292885.0,93286.0,1,,Not Assigned,0,14200081,3,2.7,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmpwm,Department for Transport,01-SEP-2021
21842709,Bus Stop (St Davids Station),10590732,291191.0,93361.0,1,,Not Assigned,0,14201566,3,12.4,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmawd,Department for Transport,01-SEP-2021
21842813,Bus Stop (The Imperial),10590732,291474.0,93386.0,1,,Not Assigned,0,14200580,3,5.1,,,,Devon,EX4,Exeter District,,,,SMS Number,dvngdptj,Department for Transport,01-SEP-2021
17784451,Flagstaff,3170245,291646.0,93719.0,2,,Not Assigned,0,14200643,3,4.9,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
103902004,St James Road Care Home,5280373,292661.0,93396.0,1,10013043905.0,osgb1000012323116,4,14200786,1,18.5,14,St. James Road,Exeter,Devon,EX4 6PY,Exeter District,1392670160.0,,,,,Wilmington Healthcare Ltd,01-SEP-2021
47980757,Starbucks Coffee Co UK Ltd,1020013,291173.0,93310.3,1,10013050444.0,osgb1000012295161,3,14201566,1,19.8,Admin Block St. Davids Railway Station,St. Davids,Exeter,Devon,EX4 4NT,Exeter District,1392424099.0,www.starbucks.co.uk,Starbucks Coffee,,,118 Information,01-SEP-2021
48057529,The Imperial,1020034,291426.0,93429.0,1,10023117166.0,osgb1000012295095,4,14200580,1,40.3,,New North Road,Exeter,Devon,EX4 4AH,Exeter District,1392434050.0,www.jdwetherspoon.co.uk,Wetherspoon,,,118 Information,01-SEP-2021
54615385,Spillers Chauffeur Hire Co,2600113,291422.0,93870.0,1,100040221742.0,osgb1000012293796,5,14200492,2,10.7,Lodge Hill,,Exeter,Devon,EX4 4AB,Exeter District,1392433560.0,www.spillers-chauffeurhire.co.uk,,,,118 Information,01-SEP-2021
54923822,Westward Housing Group,2110191,292509.0,93362.3,1,100040235055.0,osgb1000012323819,6,14200798,1,26.0,Bethany House,St. Sidwells Avenue,Exeter,Devon,EX4 6QW,Exeter District,1392217311.0,www.westwardhousing.org.uk,Westward,,,118 Information,01-SEP-2021
64384198,Clobber Ltd,7420608,291209.0,93287.8,1,10013037948.0,osgb1000012295288,3,14202257,1,18.2,5,Isambard Parade,Exeter,Devon,EX4 4BX,Exeter District,1392274545.0,www.monmark.co.uk,,,,118 Information,01-SEP-2021
68778507,Exeter Carpet Company,9480675,292936.0,93502.0,1,10013038763.0,osgb1000012321968,10,14200611,1,18.4,92a,Old Tiverton Road,Exeter,Devon,EX4 6LQ,Exeter District,1392493084.0,www.exetercarpet.co.uk,,,,118 Information,01-SEP-2021
68785447,Exeter City Community Trust,5320400,292768.0,93380.0,1,,osgb1000012323487,6,14200786,3,30.4,St. James Park,Stadium Way,Exeter,Devon,EX4 6PX,Exeter District,1392255611.0,www.exetercityfitc.co.uk,,,,118 Information,01-SEP-2021
75374454,C & D Appliances,9480721,292816.2,93317.1,1,100041045624.0,osgb1000012323590,6,14200611,1,7.7,123,Old Tiverton Road,Exeter,Devon,EX4 6LD,Exeter District,1392278500.0,www.cdappliances.com,,,,118 Information,01-SEP-2021
95710941,Zuleika Robertson,5280372,292887.0,93668.0,1,100040230008.0,osgb1000012321159,5,14200679,1,15.5,6,Prospect Park,Exeter,Devon,EX4 6NA,Exeter District,1392430162.0,,,,,118 Information,01-SEP-2021
95761307,Plymouth & Exeter Methodist District,6350816,291751.0,93326.8,1,,osgb5000005167313516,1,14200877,2,15.2,Velwell Road,,Exeter,Devon,EX4 4LE,Exeter District,1392211624.0,www.methodist.org.uk,Methodist,,,118 Information,01-SEP-2021
160759173,International Barbers,2100156,292896.0,93313.0,1,100041044189.0,osgb1000012323567,4,14200081,1,16.7,14,Blackboy Road,Exeter,Devon,EX4 6SW,Exeter District,1392436037.0,,,,,118 Information,01-SEP-2021
63999693,Electricity Sub Station,6340433,291268.0,93518.0,2,,Not Assigned,0,14200831,3,30.8,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
63999698,Electricity Sub Station,6340433,292406.0,93585.0,2,,Not Assigned,0,14201311,3,30.9,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
63999723,Electricity Sub Station,6340433,292569.0,93327.0,2,,Not Assigned,0,14200798,3,27.2,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
63999731,Electricity Sub Station,6340433,291550.0,93439.0,2,,Not Assigned,0,14200877,3,64.5,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
63999779,Electricity Sub Station,6340433,292778.0,93390.0,2,,Not Assigned,0,14200786,3,44.4,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
63999794,Electricity Sub Station,6340433,292803.0,93309.0,2,,Not Assigned,0,14200611,3,2.2,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
64066862,Electricity Sub Station,6340433,292198.0,93303.0,2,,Not Assigned,0,14202875,3,4.8,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
64070563,Electricity Sub Station,6340433,292438.0,93741.0,1,,osgb1000002070834936,4,14200671,3,5.8,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
68587204,Letter Box,6340457,291402.0,93574.0,1,,osgb1000002062031692,7,14200580,3,7.7,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
68658640,Tennis Courts,4240305,292372.0,93983.0,1,,osgb1000002062255940,6,14200784,3,44.4,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
159924724,Electricity Sub Station,6340433,292355.4,93341.4,2,,Not Assigned,0,14200080,3,11.5,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
159961782,Gas Governor,6340437,291753.6,93919.5,2,,Not Assigned,0,14200845,3,23.7,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
159903096,Electricity Sub Station,6340433,291293.7,93391.2,2,,Not Assigned,0,14200783,3,12.2,,,,Devon,EX4,Exeter District,,,,,,Ordnance Survey,01-SEP-2021
159227798,St Davids the Shop,9470699,291209.0,93287.8,1,10013037948.0,osgb1000012295288,3,14202257,1,18.2,5,Isambard Parade,Exeter,Devon,EX4 4BX,Exeter District,,,,,,Local Data Company,01-SEP-2021
157515259,Exeter City Football Club,4240302,292748.0,93390.0,1,,osgb1000012323495,6,14200786,2,26.8,St James Park,St. James Road,Exeter,Devon,EX4 6PU,Exeter District,,,,,,Local Data Company,01-SEP-2021
158059051,Allen Lane Orange Plaque,3200269,291175.0,93322.0,1,10013050444.0,osgb1000012295161,3,14201566,3,18.3,Exeter St Davids Railway Station,,Exeter,Devon,EX4,Exeter District,,openplaques.org/plaques/50549,,Plaque Type,Orange,Open Plaques,01-SEP-2021
126728874,Paypoint Ltd,2090141,292616.1,93785.4,1,100041046367.0,osgb1000012321031,6,14200883,1,11.6,38,Victoria Street,Exeter,Devon,EX4 6JQ,Exeter District,,,,,,VocaLink,01-SEP-2021
21841119,Bus Stop (Sidwell Street),10590732,292378.0,92902.0,1,,Not Assigned,0,14200757,3,4.9,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmjpd,Department for Transport,01-SEP-2021
21841122,Bus Stop (High Street),10590732,292246.0,92834.0,1,,Not Assigned,0,14200389,3,2.0,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmjdj,Department for Transport,01-SEP-2021
21841327,Bus Stop (Holloway Street),10590732,292262.0,92122.0,1,,Not Assigned,0,14200405,3,2.0,,,,Devon,EX2,Exeter District,,,,SMS Number,dvndmjmd,Department for Transport,01-SEP-2021
21841333,Exeter Coach Station,10590732,292528.0,92915.0,1,,Not Assigned,0,14200045,3,31.3,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmpdj,Department for Transport,01-SEP-2021
21841389,Bus Stop (College Road),10590732,292937.0,92611.0,1,,Not Assigned,0,14200192,3,5.3,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmtam,Department for Transport,01-SEP-2021
21841391,Bus Stop (Mount Radford),10590732,292835.0,92411.0,1,,Not Assigned,0,14200192,3,5.2,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmptw,Department for Transport,01-SEP-2021
21841392,Bus Stop (Mount Radford),10590732,292839.0,92406.0,1,,Not Assigned,0,14200192,3,0.6,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmptp,Department for Transport,01-SEP-2021
21841393,Bus Stop (Wonford Road),10590732,292787.0,92155.0,1,,Not Assigned,0,14200790,3,22.3,,,,Devon,EX2,Exeter District,,,,SMS Number,dvndmpma,Department for Transport,01-SEP-2021
21841204,Bus Stop (Sidwell Street),10590732,292522.0,93051.0,1,,Not Assigned,0,14200757,3,4.7,,,,Devon,EX4,Exeter District,,,,SMS Number,dvndmpgj,Department for Transport,01-SEP-2021
21842689,Bus Station,10590732,292467.0,92862.0,1,,Not Assigned,0,14200045,3,28.2,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmjtw,Department for Transport,01-SEP-2021
21842690,Bus Station,10590732,292469.0,92864.0,1,,Not Assigned,0,14200045,3,27.9,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmjwa,Department for Transport,01-SEP-2021
21842691,Bus Station,10590732,292471.0,92866.0,1,,Not Assigned,0,14200045,3,27.6,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmjwd,Department for Transport,01-SEP-2021
21842692,Bus Station,10590732,292473.0,92867.0,1,,Not Assigned,0,14200045,3,28.1,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmjwg,Department for Transport,01-SEP-2021
21842805,Bus Stop (Paris Street),10590732,292334.0,92852.0,1,,Not Assigned,0,14200622,3,4.2,,,,Devon,EX1,Exeter District,,,,SMS Number,dvndmjmt,Department for Transport,01-SEP-2021
16431172,Barnfield Hill Surgery,5280369,292806.0,92646.0,1,10013049963.0,osgb1000012317125,4,14200052,1,29.6,10-12,Barnfield Hill,Exeter,Devon,EX1 1SR,Exeter District,1392432761.0,,,,,Wilmington Healthcare Ltd,01-SEP-2021
31264404,Bus Stop (Odeon Cinema),10590732,292704.0,93204.0,1,,Not Assigned,0,14200757,3,2.8,,,,Devon,EX4,Exeter District,,,,SMS Number,dvngjgjw,Department for Transport,01-SEP-2021
127000512,Exeter Primary Care Limited,2100167,292806.0,92646.0,1,10013049963.0,osgb1000012317125,4,14200052,1,29.6,10-12,Barnfield Hill,Exeter,Devon,EX1 1SR,Exeter District,1392432761.0,,,,,Wilmington Healthcare Ltd,01-SEP-2021
134439852,Bus Stop (Sidwell Street),10590732,292535.0,93063.0,1,,Not Assigned,0,14200757,3,4.7,,,,Devon,EX4,Exeter District,,,,SMS Number,dvngtgpw,Department for Transport,01-SEP-2021
134439853,Bus Stop (Sidwell Street),10590732,292555.0,93083.0,1,,Not Assigned,0,14200757,3,6.3,,,,Devon,EX4,Exeter District,,,,SMS Number,dvngtgta,Department for Transport,01-SEP-2021
134440121,Bus Stop (Paris Street),10590732,292534.0,92825.0,1,,Not Assigned,0,14200622,3,3.1,,,,Devon,EX1,Exeter District,,,,SMS Number,dvngtgwa,Department for Transport,01-SEP-2021
41264573,Belmont Road,10540736,292810.0,93182.0,1,10023124455.0,osgb1000002062264946,6,14200070,2,11.0,Belmont Road,,Exeter,Devon,EX1 2HF,Exeter District,,,,,,Department for Transport (Parking),01-SEP-2021
107578833,King William Street,10540736,292405.0,93071.0,1,10013040988.0,osgb1000012324810,5,14200448,2,16.5,King William Street,,Exeter,Devon,EX4 6PD,Exeter District,,,,,,Department for Transport (Parking),01-SEP-2021
105351973,Wi-Fi Hotspot (O2 Limited),6340802,292219.0,92656.0,1,,osgb1000002070802041,6,14200066,2,10.2,24,Bedford Street,Exeter,Devon,EX1 1GJ,Exeter District,,,,,,O2 Limited,01-SEP-2021
48007667,Domino's Pizza,1020018,292561.2,93105.8,1,100041045983.0,osgb1000042780789,6,14200757,1,19.1,49,Sidwell Street,Exeter,Devon,EX4 6NS,Exeter District,1392425252.0,www.dominos.co.uk,Domino's Pizza,,,118 Information,01-SEP-2021
48817102,The Margaret Jackson Centre,5290358,292750.6,92617.6,1,10013036094.0,osgb1000012317141,3,14200052,1,17.6,4,Barnfield Hill,Exeter,Devon,EX1 1SR,Exeter District,1392256711.0,www.margaretjackson.org.uk,,,,118 Information,01-SEP-2021
48064274,The Oddfellows,1020034,292218.0,93013.0,1,100041142950.0,osgb1000012324011,4,14200580,1,12.5,60,New North Road,Exeter,Devon,EX4 4EP,Exeter District,1392209050.0,www.theoddfellowsbar.co.uk,,,,118 Information,01-SEP-2021
48073215,Clifton Inn Ltd,1020034,292791.3,92886.5,1,100041124885.0,osgb1000012317378,7,14200180,1,22.8,1,Clifton Road,Exeter,Devon,EX1 2BR,Exeter District,1392273527.0,www.thecliftoninn.co.uk,,,,118 Information,01-SEP-2021
48734586,Topshop,9460656,292310.9,92800.1,1,,osgb1000002070809093,2,14200622,3,55.3,11,Eastgate,Exeter,Devon,EX1 1GB,Exeter District,1392431111.0,www.topshop.com/?geoip=home,Topshop,,,118 Information,01-SEP-2021
48791305,Saunders,9470699,292894.0,92996.0,1,10013036518.0,osgb1000012317462,7,14200180,1,17.9,30,Clifton Road,Exeter,Devon,EX1 2BW,Exeter District,1392258086.0,,,,,118 Information,01-SEP-2021
48805173,Exeter Sewing Machine Co,9480675,292713.0,92810.0,1,100041045037.0,osgb1000012317513,3,14200380,1,15.7,7,Heavitree Road,Exeter,Devon,EX1 2LD,Exeter District,1392275660.0,www.exetersewing.co.uk,,,,118 Information,01-SEP-2021
48902042,Best Tyres,9490698,292704.0,93059.0,1,10013039901.0,osgb1000012323704,7,14200878,1,21.4,2,Verney Street,Exeter,Devon,EX1 2AW,Exeter District,1392411100.0,,,,,118 Information,01-SEP-2021
48858550,Exeter Pet & Garden,9480691,292562.0,93050.0,1,100041046028.0,osgb1000012322939,5,14200757,1,23.0,148,Sidwell Street,Exeter,Devon,EX4 6RT,Exeter District,1392279658.0,,,,,118 Information,01-SEP-2021
49759437,Exeter's Underground Passages,3200267,292362.0,92814.4,1,10013050847.0,osgb1000002070809059,4,14200243,1,45.3,2,Paris Street,Exeter,Devon,EX1 1GA,Exeter District,1392665887.0,www.exeter.gov.uk/passages,,,,118 Information,01-SEP-2021
49874520,Caroline Charles,9460656,292285.0,92721.0,1,,osgb1000002070809040,3,14200661,2,45.6,2,Roman Walk,Exeter,Devon,EX1 1GN,Exeter District,1392424645.0,www.carolinecharles.co.uk,Caroline Charles,,,118 Information,01-SEP-2021
54739803,A S C Finance for Business,2090147,292296.0,92588.0,1,100041123904.0,osgb1000012317708,4,14200773,1,20.8,20,Southernhay West,Exeter,Devon,EX1 1PR,Exeter District,1392423600.0,www.asc.co.uk,A S C Finance for Business,,,118 Information,01-SEP-2021
54775539,Crosse & Crosse Solicitors LLP,2090154,292285.0,92541.0,1,10013042123.0,osgb1000012317714,5,14200773,1,18.8,Crosse and Crosse 13-14,Southernhay West,Exeter,Devon,EX1 1PL,Exeter District,1392258451.0,www.crosse.co.uk,,,,118 Information,01-SEP-2021
54773896,The Family Law Co,2090154,292367.2,92420.7,1,10013041387.0,osgb1000012320668,5,14201842,1,13.8,Oriel House,Southernhay Gardens,Exeter,Devon,EX1 1NP,Exeter District,1392421777.0,www.thefamilylawco.com,,,,118 Information,01-SEP-2021
54785507,Hawksmoor Investment Management,2090147,292480.0,92708.0,1,100041123933.0,osgb1000012318264,5,14200243,1,11.8,Sterling Court 17,Dix's Field,Exeter,Devon,EX1 1QA,Exeter District,1392410180.0,www.hawksmoorim.co.uk,,,,118 Information,01-SEP-2021
54892055,Knight Frank,2110190,292390.0,92669.0,1,100041124264.0,osgb1000012317898,4,14200771,1,20.9,19,Southernhay East,Exeter,Devon,EX1 1QD,Exeter District,1392423111.0,www.knightfrank.co.uk,Knight Frank,,,118 Information,01-SEP-2021
54923165,Assinder Turnham & Co Ltd,2110195,292272.8,92490.0,1,,osgb1000012320530,5,14200773,2,13.8,6,Southernhay West,Exeter,Devon,EX1 1JG,Exeter District,1392499091.0,www.assinderturnham.co.uk,,,,118 Information,01-SEP-2021
54950349,Drew Pearce,2110195,292256.0,92590.0,1,100041123939.0,osgb1000012317732,4,14200136,1,51.9,14,Cathedral Close,Exeter,Devon,EX1 1HA,Exeter District,1392201748.0,www.drewpearce.co.uk,,,,118 Information,01-SEP-2021
54931130,Winkworth Estate Agents,2110192,292374.0,92595.8,1,10023118496.0,osgb1000012317699,4,14200771,1,16.0,25,Southernhay East,Exeter,Devon,EX1 1QP,Exeter District,1392271177.0,www.winkworth.co.uk,,,,118 Information,01-SEP-2021
68725694,Victim Support Within Magistrates Court,5290358,293000.0,92714.0,1,,osgb1000012342559,6,14200380,2,40.6,Heavitree Road,,Exeter,Devon,EX1,Exeter District,3003321000.0,www.victimsupport.org.uk,Victim Support,,,118 Information,01-SEP-2021
54979024,Kenjo Laundrette & Dry Cleaners,2100158,292598.0,93088.0,1,10013048943.0,osgb1000012322947,8,14200757,1,18.7,139,Sidwell Street,Exeter,Devon,EX4 6RT,Exeter District,1392259527.0,,,,,118 Information,01-SEP-2021
80815476,Unite Group Plc,2110192,292226.6,92963.0,1,10013041210.0,osgb1000012318113,4,14200595,1,13.7,Northernhay House,Northernhay Place,Exeter,Devon,EX4 3RY,Exeter District,1392433493.0,www.unite-group.co.uk,Unite,,,118 Information,01-SEP-2021
80837340,William Hill,4220279,292478.1,92975.6,1,10013039383.0,osgb1000012318188,6,14200757,1,21.9,162,Sidwell Street,Exeter,Devon,EX4 6RH,Exeter District,8705181715.0,www.williamhill.co.uk,William Hill,,,118 Information,01-SEP-2021
80845020,Kirk Hills Chartered Accountants,2090135,292456.5,92642.5,1,10023123722.0,osgb1000012317869,4,14200159,3,44.0,5,Barnfield Crescent,Exeter,Devon,EX1 1QT,Exeter District,1392474303.0,,,,,118 Information,01-SEP-2021
85526493,Insideout,9480717,292224.1,92786.7,1,,osgb1000012317972,6,14200389,3,27.8,1,Bampfylde Lane,Exeter,Devon,EX1 1GQ,Exeter District,1392423993.0,www.insideouthome.co.uk,,,,118 Information,01-SEP-2021
68783691,Friends Meeting House,6340459,292383.9,92352.8,1,100041131992.0,osgb1000012320618,7,14200632,3,28.3,The Meeting House,Wynards Lane,Exeter,Devon,EX2 4HU,Exeter District,1363773000.0,www.quaker.org.uk,Quakers Religious Society Of Friends,Religion,Quaker (Christian),118 Information,01-SEP-2021
75327734,W B W Solicitors,2090154,292459.0,92548.0,1,10023117555.0,osgb1000012317696,5,14200053,1,22.6,The Forum,Barnfield Road,Exeter,Devon,EX1 1QR,Exeter District,1392274126.0,www.wbw.co.uk,W B W Solicitors,,,118 Information,01-SEP-2021
75489216,Highlands Care Home,5280373,292659.0,92095.0,1,100040234853.0,osgb1000012318900,6,14200790,1,27.8,54-56,St. Leonards Road,Exeter,Devon,EX2 4LS,Exeter District,1392431122.0,www.highlandscarehome.co.uk,,,,118 Information,01-SEP-2021
75331833,Giraffe,1020043,292324.4,92777.1,1,10013050860.0,osgb1000002070809046,3,14200243,3,55.9,3,Princesshay,Exeter,Devon,EX1 1GE,Exeter District,1392494222.0,www.giraffe.net,Giraffe,Restaurant Type,Restaurant,118 Information,01-SEP-2021
75326024,Naomi J Ryan Estate Agents,2110190,292292.0,92572.0,1,100041046187.0,osgb1000012317710,5,14200773,1,20.4,18,Southernhay West,Exeter,Devon,EX1 1PJ,Exeter District,1392215283.0,www.naomijryan.co.uk,,,,118 Information,01-SEP-2021
75435298,Specsavers Hearcare,7370478,292225.0,92846.5,1,10023119508.0,osgb1000012318024,6,14200389,1,20.4,Unit 4 247,High Street,Exeter,Devon,EX4 3PZ,Exeter District,1392210604.0,www.specsavers.co.uk/hearing,Specsavers,,,118 Information,01-SEP-2021
75442440,Heavitree Road Chiropractic Centre,5280345,292735.8,92797.3,1,,osgb1000012317519,3,14200380,2,13.3,15,Heavitree Road,Exeter,Devon,EX1 2LD,Exeter District,1392421700.0,www.hrcc.co.uk,,,,118 Information,01-SEP-2021
85619524,G A P Personnel,2050078,292935.2,92363.3,1,10023117125.0,osgb1000002070794246,1,14200513,1,13.6,Zenith House,Magdalen Road,Exeter,Devon,EX2 4TE,Exeter District,1392273665.0,www.gap-personnel.com,Gap Personnel,,,118 Information,01-SEP-2021
91447235,Gas Appliance Specialist,2030056,292916.0,92954.0,1,,osgb1000012317234,2,14200181,3,9.3,4,Newtown Close,Exeter,Devon,EX1 2EU,Exeter District,7808176342.0,www.gasappliancespecialist.co.uk,,,,118 Information,01-SEP-2021
85626304,Northwood,2110190,292268.1,92476.8,1,10023119023.0,osgb1000012320532,6,14200773,1,13.5,5,Southernhay West,Exeter,Devon,EX1 1JG,Exeter District,1392435130.0,www.northwooduk.com,Northwood,,,118 Information,01-SEP-2021
85643028,Swarovski UK Ltd,9460659,292269.6,92782.0,1,10013050882.0,osgb1000002070809085,2,14200389,3,58.1,26,Princesshay,Exeter,Devon,EX1 1GE,Exeter District,1392436355.0,www.swarovski.com/web_gb/en/index,Swarovski,,,118 Information,01-SEP-2021
91354751,Castle Galleries,9480712,292282.7,92666.5,1,,osgb1000002070809040,3,14200066,3,38.6,7,Roman Walk,Exeter,Devon,EX1 1GN,Exeter District,1392425242.0,www.castlegalleries.com,Castle Galleries,,,118 Information,01-SEP-2021
96547637,Lotus Loft,5280330,292374.0,92595.8,1,10023118496.0,osgb1000012317699,4,14200771,2,16.0,25,Southernhay East,Exeter,Devon,EX1 1QP,Exeter District,1392437997.0,www.lotus-loft.co.uk,,,,118 Information,01-SEP-2021
104554547,Nightstop Devon,6350816,292406.0,93080.0,1,10013040988.0,osgb1000012324810,5,14200448,2,20.0,3 Wat Tyler House,King William Street,Exeter,Devon,EX4 6PD,Exeter District,1392430228.0,,,,,118 Information,01-SEP-2021
104584493,Hotel Duvin,1010006,292327.0,92269.0,1,10013043836.0,osgb1000012320288,8,14200515,1,29.4,,Magdalen Street,Exeter,Devon,EX2 4HY,Exeter District,1392790120.0,www.hotelduvin.com,,,,118 Information,01-SEP-2021
108359808,Miss Selfridge,9460656,292310.9,92800.1,1,10013050710.0,osgb1000002070809093,2,14200622,3,55.3,11,Eastgate,Exeter,Devon,EX1 1GB,Exeter District,1392276862.0,www.missselfridge.com,Miss Selfridge,,,118 Information,01-SEP-2021
108322509,Stags,2110190,292298.0,92594.0,1,100041123887.0,osgb1000012317707,4,14200773,1,20.5,21,Southernhay West,Exeter,Devon,EX1 1PR,Exeter District,1392255202.0,www.stags.co.uk,Stags,,,118 Information,01-SEP-2021
124021658,Joules,9460656,292222.4,92728.6,1,10013050711.0,osgb1000002070809094,3,14200066,1,43.9,Unit Su19,,Exeter,Devon,EX1 1GE,Exeter District,1392436807.0,www.joules.com,Joules,,,118 Information,01-SEP-2021
125707749,E D P Drug & Alcohol Services,5290358,292260.0,92941.0,1,10013050561.0,osgb1000012318275,4,14200580,1,14.2,Brittany House,New North Road,Exeter,Devon,EX4 4EP,Exeter District,1392492360.0,www.addaction.org.uk,Devon Drug Service E D P,,,118 Information,01-SEP-2021
125698874,The Salvation Army,1010005,292260.0,93143.0,1,100041045220.0,osgb1000012324106,4,14200418,1,20.1,62,Howell Road,Exeter,Devon,EX4 4EY,Exeter District,1392413843.0,www.salvationarmy.org.uk,The Salvation Army,,,118 Information,01-SEP-2021
125808174,Label Makers,7420609,292440.0,92445.8,1,10013045147.0,osgb1000002070664368,5,14201842,1,16.6,Senate Court,Southernhay Gardens,Exeter,Devon,EX1 1UG,Exeter District,1392458003.0,www.labelmakers-exeter.co.uk,,,,118 Information,01-SEP-2021
125806455,Lean Marketing,2080127,292440.0,92446.0,1,10013045147.0,osgb1000002070664368,5,14201842,1,16.7,The Senate,Southernhay Gardens,Exeter,Devon,EX1 1UG,Exeter District,8455195249.0,www.lean-marketing.co.uk,,,,118 Information,01-SEP-2021
127735974,Jo Malone,9480677,292331.0,92928.0,1,100041045955.0,osgb1000012318199,7,14200757,1,40.3,1,Sidwell Street,Exeter,Devon,EX4 6NN,Exeter District,3701925361.0,www.jomalone.co.uk,Jo Malone,,,118 Information,01-SEP-2021
129120269,Smiggle,9480725,292221.0,92791.0,1,100041142314.0,osgb1000012317973,6,14200389,1,22.5,11,High Street,Exeter,Devon,EX4 3LF,Exeter District,1392213040.0,www.smiggle.co.uk,Smiggle,,,118 Information,01-SEP-2021
127739531,Children's Hospice South West,9480714,292534.5,93080.8,1,10091469319.0,osgb1000012322913,5,14200757,1,18.4,42,Sidwell Street,Exeter,Devon,EX4 6NS,Exeter District,1392437612.0,www.chsw.org.uk,Childrens Hospice South West,,,118 Information,01-SEP-2021
145397010,Traveline,7420599,292440.0,92446.0,1,10013045147.0,osgb1000002070664368,5,14201842,1,16.7,The Senate,Southernhay Gardens,Exeter,Devon,EX1 1UG,Exeter District,8712002233.0,,,,,118 Information,01-SEP-2021
146522764,Air Marketing Group,2080127,292459.0,92548.0,1,10091986158.0,osgb1000012317696,5,14200053,1,22.6,The Forum,Barnfield Road,Exeter,Devon,EX1 1QR,Exeter District,3452413038.0,www.air-marketing.co.uk,,,,118 Information,01-SEP-2021
146528081,Lush Retail Ltd,9480677,292287.0,92826.6,1,,osgb1000002070809093,2,14200389,3,31.9,Unit 3,Eastgate,Exeter,Devon,EX1 1GB,Exeter District,1392438821.0,www.lush.co.uk,Lush,,,118 Information,01-SEP-2021
