UNIQUE_REFERENCE_NUMBER,NAME,POINTX_CLASSIFICATION_CODE,FEATURE_EASTING,FEATURE_NORTHING,POSITIONAL_ACCURACY_CODE,UPRN,TOPOGRAPHIC_TOID,TOPOGRAPHIC_TOID_VERSION,USRN,USRN_MATCH_INDICATOR,DISTANCE,ADDRESS_DETAIL,STREET_NAME,LOCALITY,GEOGRAPHIC_COUNTY,POSTCODE,ADMINISTRATIVE_BOUNDARY,TELEPHONE_NUMBER,URL,BRAND,QUALIFIER_TYPE,QUALIFIER_DATA,PROVENANCE,DATE_OF_SUPPLY
80813730,HSBC,2090138,292237.0,92866.0,1,100041142028.0,osgb1000012318026,5,14200389,1,29.3,250,High Street,Exeter,Devon,EX4 3PZ,Exeter District,3457404404.0,www.hsbc.co.uk/1/2/,HSBC,,,118 Information,01-SEP-2021
80829312,Next,9460656,292296.8,92850.5,1,,osgb1000002070809093,2,14200389,3,17.2,1,Eastgate,Exeter,Devon,EX1 1GB,Exeter District,3330055138.0,www.next.co.uk,Next Retail Plc,,,118 Information,01-SEP-2021
85510842,Purity Boutique Spa,2100156,292112.8,92643.1,1,100041046494.0,osgb1000012317754,5,14200136,1,14.1,3,Cathedral Close,Exeter,Devon,EX1 1EZ,Exeter District,1392420027.0,www.purityboutiquespa.co.uk,,,,118 Information,01-SEP-2021
85537518,Fat Face,9460656,292294.4,92774.4,1,,osgb1000002070809050,3,14200661,3,69.1,4,Princesshay,Exeter,Devon,EX1 1GE,Exeter District,1392982018.0,www.fatface.com,Fat Face,,,118 Information,01-SEP-2021
78360348,Sound in Theory,2080117,292018.0,92795.0,1,100041044913.0,osgb1000012318051,6,14200328,1,8.6,25-26,Gandy Street,Exeter,Devon,EX4 3LS,Exeter District,1392499498.0,www.soundintheory.co.uk,,,,118 Information,01-SEP-2021
78313717,HM Prison & Young Offenders Institution Exeter,6330424,291952.5,93166.2,1,100041142520.0,osgb1000012294748,5,14200580,1,25.6,,New North Road,Exeter,Devon,EX4 4EX,Exeter District,1392415650.0,,,,,118 Information,01-SEP-2021
78301399,Simon Vacher Film,2080122,292007.6,92861.3,1,100041141944.0,osgb1000002062007893,10,14200328,1,40.0,Bradninch Place,Gandy Street,Exeter,Devon,EX4 3LS,Exeter District,7765488101.0,www.simonvacherfilm.com,,,,118 Information,01-SEP-2021
85622149,Mountain Warehouse,9480686,292068.0,92683.0,1,100041045116.0,osgb1000012317828,6,14200389,2,15.4,38,High Street,Exeter,Devon,EX4 3LN,Exeter District,1392435513.0,www.mountainwarehouse.com,Mountain Warehouse,,,118 Information,01-SEP-2021
85570485,Northernhay Clinic,5280333,291857.0,92809.0,1,10013038708.0,osgb1000012290489,3,14200597,1,17.5,39,Northernhay Street,Exeter,Devon,EX4 3ER,Exeter District,1392259101.0,www.northernhayclinic.com,,,,118 Information,01-SEP-2021
85590333,NatWest,2090138,291988.0,92614.0,1,10013037723.0,osgb1000012290043,9,14200389,1,16.6,Exeter Bank Branch 59,High Street,Exeter,Devon,EX4 3DL,Exeter District,3457888444.0,personal.natwest.com/personal.html,NatWest,,,118 Information,01-SEP-2021
91418173,Costa Coffee,1020013,292179.0,92687.0,1,10013036179.0,osgb5000005178808169,1,14200066,2,16.2,12,Bedford Street,Exeter,Devon,EX1 1LL,Exeter District,1392258540.0,www.costa.co.uk,Costa,,,118 Information,01-SEP-2021
85611497,Moss Bros,9460656,292234.7,92715.8,1,10013050870.0,osgb1000002070809040,3,14200066,3,43.4,14,Princesshay,Exeter,Devon,EX1 1GE,Exeter District,1392270520.0,www.moss.co.uk,Moss Bros,,,118 Information,01-SEP-2021
85634485,Erin Cox Jewellery,2140214,292163.6,92869.1,1,10013036384.0,osgb1000012318092,4,14200135,1,6.8,14,Castle Street,Exeter,Devon,EX4 3PT,Exeter District,1392660836.0,www.erincox.co.uk,,,,118 Information,01-SEP-2021
91386689,Bradleys Estate Agents,2110190,291888.0,92597.0,1,100041142301.0,osgb1000012291094,6,14200593,1,14.2,47,North Street,Exeter,Devon,EX4 3QR,Exeter District,1392427948.0,www.bradleys-estate-agents.co.uk,Bradleys Estate Agents,,,118 Information,01-SEP-2021
96541449,Solicitors Title,2090154,291984.0,92818.0,1,10013041797.0,osgb1000012290443,3,14200328,1,5.9,17a,Gandy Street,Exeter,Devon,EX4 3LS,Exeter District,1392207900.0,www.solicitorstitle.co.uk,,,,118 Information,01-SEP-2021
96549114,Halifax,2090138,292278.4,92886.8,1,10013037662.0,osgb1000012318252,6,14200389,1,23.5,1 Roman Gate 252,High Street,Exeter,Devon,EX4 3PZ,Exeter District,3457203040.0,www.halifax.co.uk,Halifax,,,118 Information,01-SEP-2021
96554889,Regen,2040063,292178.0,92911.0,1,10013040429.0,osgb1000012318280,7,14200135,1,42.3,Accountancy Plus Bradninch Court,Castle Street,Exeter,Devon,EX4 3PL,Exeter District,1392494399.0,www.regen.co.uk,,,,118 Information,01-SEP-2021
97770068,3Store,9480726,292178.6,92813.8,1,,osgb1000002070827092,2,14200389,2,20.7,244,High Street,Exeter,Devon,EX4 3NZ,Exeter District,1392273740.0,www.three.co.uk,Three,,,118 Information,01-SEP-2021
103279032,Seasalt,9460656,292013.0,92805.0,1,,osgb1000012318052,4,14200328,2,10.7,24,Gandy Street,Exeter,Devon,EX4 3LS,Exeter District,1392433033.0,www.seasaltcornwall.co.uk,Seasalt,,,118 Information,01-SEP-2021
103264939,Vodafone Store,9480726,292183.0,92824.1,1,10013037658.0,osgb1000002070827093,1,14200389,1,26.5,246,High Street,Exeter,Devon,EX4 3NZ,Exeter District,8080408408.0,www.vodafone.co.uk,Vodafone UK,,,118 Information,01-SEP-2021
103816969,Interaction Recruitment,2050078,291939.0,92632.0,1,10091469921.0,osgb1000012290372,3,14200389,3,29.6,22b,Waterbeer Street,Exeter,Devon,EX4 3EH,Exeter District,1392427666.0,www.interactionrecruitment.co.uk/,Interaction Recruitment,,,118 Information,01-SEP-2021
103286629,Paperchase,9480725,292077.0,92682.0,1,100041045115.0,osgb1000012317829,4,14200389,1,21.6,36,High Street,Exeter,Devon,EX4 3LN,Exeter District,3330167153.0,www.paperchase.com/en_gb/stores/exeter.html,Paperchase,,,118 Information,01-SEP-2021
103272177,David Field Wealth Management Ltd,2090147,292308.5,92614.4,1,100041123905.0,osgb1000012317704,4,14200773,1,15.7,24,Southernhay West,Exeter,Devon,EX1 1PR,Exeter District,1392273431.0,,,,,118 Information,01-SEP-2021
103309497,Jodi Locks,2100156,291885.6,92928.7,1,100041045865.0,osgb1000012290506,4,14200684,1,26.3,3a Central Station Buildings,Queen Street,Exeter,Devon,EX4 3SB,Exeter District,1392274400.0,www.jodilocks.co.uk,,,,118 Information,01-SEP-2021
103310143,Cafe Rouge,1020043,292219.0,92656.0,1,,osgb1000002070802041,6,14200066,2,10.2,24,Bedford Street,Exeter,Devon,EX1 1GJ,Exeter District,1392251042.0,www.caferouge.com,Cafe Rouge,Restaurant Type,French Restaurant,118 Information,01-SEP-2021
103812070,Nails 4 U,2100156,291898.7,92591.4,1,100041142329.0,osgb1000012290381,4,14200593,1,16.5,49,North Street,Exeter,Devon,EX4 3QR,Exeter District,1392425447.0,,,,,118 Information,01-SEP-2021
103820057,Chandos Deli,9470665,292291.0,92738.0,1,,osgb1000002070809050,3,14200661,2,45.4,1,Roman Walk,Exeter,Devon,EX1 1GN,Exeter District,1392437379.0,,Chandos,,,118 Information,01-SEP-2021
